name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,12/14/2018,158040,86,0.76,0.556,0.76,0.479,0,0.0703,-5.574,0.0466,89.911,4,1/4/2019,1/11/2019
Wow.,Wow.,Post Malone,12/24/2018,149520,18,0.833,0.163,0.833,0.539,2.10E-06,0.101,-7.399,0.178,99.947,4,1/4/2019,1/11/2019
Going Bad (feat. Drake),Championships,Meek Mill,11/30/2018,180522,82,0.889,0.259,0.889,0.496,0,0.252,-6.365,0.0905,86.003,4,1/4/2019,1/11/2019
SICKO MODE,ASTROWORLD,Travis Scott,8/3/2018,312820,88,0.834,0.00513,0.834,0.73,0,0.124,-3.714,0.222,155.008,4,1/4/2019,1/11/2019
Drip Too Hard (Lil Baby & Gunna),Drip Harder,Lil Baby,10/5/2018,145542,83,0.897,0.0852,0.897,0.662,0,0.534,-6.903,0.292,112.511,4,1/4/2019,1/11/2019
"thank u, next","thank u, next",Ariana Grande,11/3/2018,207333,8,0.724,0.28,0.724,0.647,0,0.102,-5.642,0.0658,106.96,4,1/4/2019,1/11/2019
Without Me,Without Me,Halsey,10/4/2018,201660,83,0.752,0.297,0.752,0.488,9.11E-06,0.0936,-7.05,0.0705,136.041,4,1/4/2019,1/11/2019
ZEZE (feat. Travis Scott & Offset),Dying to Live,Kodak Black,12/14/2018,228759,81,0.861,0.0521,0.861,0.603,0,0.0924,-5.788,0.176,98.043,4,1/4/2019,1/11/2019
Mo Bamba,MUDBOY,Sheck Wes,10/5/2018,183906,79,0.729,0.194,0.729,0.625,0.00986,0.248,-5.266,0.0315,146.034,4,1/4/2019,1/11/2019
Leave Me Alone,Leave Me Alone,Flipp Dinero,9/4/2018,195637,71,0.792,0.107,0.792,0.743,0,0.183,-2.806,0.0851,150.024,4,1/4/2019,1/11/2019
