name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,158040,86,0.76,0.556,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,4,2019-01-04,2019-01-11
Wow.,Wow.,Post Malone,2018-12-24,149520,18,0.833,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0.178,99.947,4,2019-01-04,2019-01-11
Going Bad (feat. Drake),Championships,Meek Mill,2018-11-30,180522,82,0.889,0.259,0.889,0.496,0.0,0.252,-6.365,0.0905,86.003,4,2019-01-04,2019-01-11
SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,88,0.834,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,4,2019-01-04,2019-01-11
Drip Too Hard (Lil Baby & Gunna),Drip Harder,Lil Baby,2018-10-05,145542,83,0.897,0.0852,0.897,0.662,0.0,0.534,-6.903,0.292,112.511,4,2019-01-04,2019-01-11
"thank u, next","thank u, next",Ariana Grande,2018-11-03,207333,8,0.724,0.28,0.724,0.647,0.0,0.102,-5.642,0.0658,106.96,4,2019-01-04,2019-01-11
Without Me,Without Me,Halsey,2018-10-04,201660,83,0.752,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,4,2019-01-04,2019-01-11
ZEZE (feat. Travis Scott & Offset),Dying to Live,Kodak Black,2018-12-14,228759,81,0.861,0.0521,0.861,0.603,0.0,0.0924,-5.788,0.176,98.043,4,2019-01-04,2019-01-11
Mo Bamba,MUDBOY,Sheck Wes,2018-10-05,183906,79,0.729,0.194,0.729,0.625,0.00986,0.248,-5.266,0.0315,146.034,4,2019-01-04,2019-01-11
Leave Me Alone,Leave Me Alone,Flipp Dinero,2018-09-04,195637,71,0.792,0.107,0.792,0.743,0.0,0.183,-2.806,0.0851,150.024,4,2019-01-04,2019-01-11
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,158040,86,0.76,0.556,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,4,2019-01-11,2019-01-18
Wow.,Wow.,Post Malone,2018-12-24,149520,18,0.833,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0.178,99.947,4,2019-01-11,2019-01-18
Going Bad (feat. Drake),Championships,Meek Mill,2018-11-30,180522,82,0.889,0.259,0.889,0.496,0.0,0.252,-6.365,0.0905,86.003,4,2019-01-11,2019-01-18
Drip Too Hard (Lil Baby & Gunna),Drip Harder,Lil Baby,2018-10-05,145542,83,0.897,0.0852,0.897,0.662,0.0,0.534,-6.903,0.292,112.511,4,2019-01-11,2019-01-18
Without Me,Without Me,Halsey,2018-10-04,201660,83,0.752,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,4,2019-01-11,2019-01-18
SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,88,0.834,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,4,2019-01-11,2019-01-18
Lost in the Fire,Lost in the Fire,Gesaffelstein,2019,202093,2,0.663,0.0863,0.663,0.675,0.00133,0.117,-12.159,0.0359,101.004,4,2019-01-11,2019-01-18
"thank u, next","thank u, next",Ariana Grande,2018-11-03,207333,8,0.724,0.28,0.724,0.647,0.0,0.102,-5.642,0.0658,106.96,4,2019-01-11,2019-01-18
ZEZE (feat. Travis Scott & Offset),Dying to Live,Kodak Black,2018-12-14,228759,81,0.861,0.0521,0.861,0.603,0.0,0.0924,-5.788,0.176,98.043,4,2019-01-11,2019-01-18
Mo Bamba,MUDBOY,Sheck Wes,2018-10-05,183906,79,0.729,0.194,0.729,0.625,0.00986,0.248,-5.266,0.0315,146.034,4,2019-01-11,2019-01-18
MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-23,213593,83,0.837,0.149,0.837,0.364,0.0,0.271,-11.713,0.276,123.984,4,2019-01-25,2019-02-01
7 rings,7 rings,Ariana Grande,2019-01-18,178640,7,0.725,0.578,0.725,0.321,0.0,0.0884,-10.744,0.323,70.142,4,2019-01-25,2019-02-01
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,158040,86,0.76,0.556,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,4,2019-01-25,2019-02-01
Wow.,Wow.,Post Malone,2018-12-24,149520,18,0.833,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0.178,99.947,4,2019-01-25,2019-02-01
Going Bad (feat. Drake),Championships,Meek Mill,2018-11-30,180522,82,0.889,0.259,0.889,0.496,0.0,0.252,-6.365,0.0905,86.003,4,2019-01-25,2019-02-01
