name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
7 rings,"thank u, next",Ariana Grande,2/8/2019,178626,87,0.778,0.592,0.778,0.317,0,0.0881,-10.732,0.334,140.048,4,2/15/2019,2/22/2019
"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2/8/2019,190440,80,0.726,0.0421,0.726,0.554,0,0.106,-5.29,0.0917,169.999,4,2/15/2019,2/22/2019
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/23/2019,213593,83,0.837,0.149,0.837,0.364,0,0.271,-11.713,0.276,123.984,4,2/15/2019,2/22/2019
Wow.,Wow.,Post Malone,12/24/2018,149520,18,0.833,0.163,0.833,0.539,2.10E-06,0.101,-7.399,0.178,99.947,4,2/15/2019,2/22/2019
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,12/14/2018,158040,86,0.76,0.556,0.76,0.479,0,0.0703,-5.574,0.0466,89.911,4,2/15/2019,2/22/2019
Robbery,Robbery,Juice WRLD,2/13/2019,240527,0,0.708,0.342,0.708,0.691,0,0.222,-5.179,0.0442,79.99,4,2/15/2019,2/22/2019
Going Bad (feat. Drake),Championships,Meek Mill,11/30/2018,180522,82,0.889,0.259,0.889,0.496,0,0.252,-6.365,0.0905,86.003,4,2/15/2019,2/22/2019
a lot,i am > i was,21 Savage,12/21/2018,288624,80,0.837,0.0395,0.837,0.636,0.00125,0.342,-7.643,0.086,145.972,4,2/15/2019,2/22/2019
Thotiana,Famous Cryp,Blueface,12/18/2018,129264,37,0.906,0.18,0.906,0.382,0,0.113,-12.89,0.269,104.025,4,2/15/2019,2/22/2019
"thank u, next","thank u, next",Ariana Grande,2/8/2019,207320,85,0.717,0.229,0.717,0.653,0,0.101,-5.634,0.0658,106.966,4,2/15/2019,2/22/2019
7 rings,"thank u, next",Ariana Grande,2/8/2019,178626,87,0.778,0.592,0.778,0.317,0,0.0881,-10.732,0.334,140.048,4,2/22/2019,3/1/2019
"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2/8/2019,190440,80,0.726,0.0421,0.726,0.554,0,0.106,-5.29,0.0917,169.999,4,2/22/2019,3/1/2019
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/23/2019,213593,83,0.837,0.149,0.837,0.364,0,0.271,-11.713,0.276,123.984,4,2/22/2019,3/1/2019
Wow.,Wow.,Post Malone,12/24/2018,149520,18,0.833,0.163,0.833,0.539,2.10E-06,0.101,-7.399,0.178,99.947,4,2/22/2019,3/1/2019
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture),Various Artists,2/22/2019,158040,56,0.761,0.552,0.761,0.479,0,0.0704,-5.574,0.0466,89.913,4,2/22/2019,3/1/2019
Murder On My Mind,I AM YOU,YNW Melly,8/3/2018,268434,83,0.759,0.145,0.759,0.73,3.06E-06,0.11,-7.985,0.0516,115.007,4,2/22/2019,3/1/2019
Robbery,Robbery,Juice WRLD,2/13/2019,240527,0,0.708,0.342,0.708,0.691,0,0.222,-5.179,0.0442,79.99,4,2/22/2019,3/1/2019
Going Bad (feat. Drake),Championships,Meek Mill,11/30/2018,180522,82,0.889,0.259,0.889,0.496,0,0.252,-6.365,0.0905,86.003,4,2/22/2019,3/1/2019
a lot,i am > i was,21 Savage,12/21/2018,288624,80,0.837,0.0395,0.837,0.636,0.00125,0.342,-7.643,0.086,145.972,4,2/22/2019,3/1/2019
Thotiana,Famous Cryp,Blueface,12/18/2018,129264,37,0.906,0.18,0.906,0.382,0,0.113,-12.89,0.269,104.025,4,2/22/2019,3/1/2019
Sucker,Sucker,Jonas Brothers,3/1/2019,181040,13,0.842,0.0427,0.842,0.734,0,0.106,-5.065,0.0588,137.958,4,3/1/2019,3/8/2019
7 rings,"thank u, next",Ariana Grande,2/8/2019,178626,87,0.778,0.592,0.778,0.317,0,0.0881,-10.732,0.334,140.048,4,3/1/2019,3/8/2019
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/23/2019,213593,83,0.837,0.149,0.837,0.364,0,0.271,-11.713,0.276,123.984,4,3/1/2019,3/8/2019
Murder On My Mind,I AM YOU,YNW Melly,8/3/2018,268434,83,0.759,0.145,0.759,0.73,3.06E-06,0.11,-7.985,0.0516,115.007,4,3/1/2019,3/8/2019
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture),Various Artists,2/22/2019,158040,56,0.761,0.552,0.761,0.479,0,0.0704,-5.574,0.0466,89.913,4,3/1/2019,3/8/2019
"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2/8/2019,190440,80,0.726,0.0421,0.726,0.554,0,0.106,-5.29,0.0917,169.999,4,3/1/2019,3/8/2019
Robbery,Robbery,Juice WRLD,2/13/2019,240527,0,0.708,0.342,0.708,0.691,0,0.222,-5.179,0.0442,79.99,4,3/1/2019,3/8/2019
Wow.,Wow.,Post Malone,12/24/2018,149520,18,0.833,0.163,0.833,0.539,2.10E-06,0.101,-7.399,0.178,99.947,4,3/1/2019,3/8/2019
Going Bad (feat. Drake),Championships,Meek Mill,11/30/2018,180522,82,0.889,0.259,0.889,0.496,0,0.252,-6.365,0.0905,86.003,4,3/1/2019,3/8/2019
Shallow,A Star Is Born Soundtrack,Lady Gaga,10/5/2018,215733,86,0.572,0.371,0.572,0.385,0,0.231,-6.362,0.0308,95.799,4,3/1/2019,3/8/2019
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/23/2019,213593,83,0.837,0.149,0.837,0.364,0,0.271,-11.713,0.276,123.984,4,3/15/2019,3/22/2019
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,12/14/2018,158040,86,0.76,0.556,0.76,0.479,0,0.0703,-5.574,0.0466,89.911,4,3/15/2019,3/22/2019
7 rings,"thank u, next",Ariana Grande,2/8/2019,178626,87,0.778,0.592,0.778,0.317,0,0.0881,-10.732,0.334,140.048,4,3/15/2019,3/22/2019
Sucker,Sucker,Jonas Brothers,3/1/2019,181040,13,0.842,0.0427,0.842,0.734,0,0.106,-5.065,0.0588,137.958,4,3/15/2019,3/22/2019
Murder On My Mind,I AM YOU,YNW Melly,8/3/2018,268434,83,0.759,0.145,0.759,0.73,3.06E-06,0.11,-7.985,0.0516,115.007,4,3/15/2019,3/22/2019
Wow.,Wow.,Post Malone,12/24/2018,149520,18,0.833,0.163,0.833,0.539,2.10E-06,0.101,-7.399,0.178,99.947,4,3/15/2019,3/22/2019
Going Bad (feat. Drake),Championships,Meek Mill,11/30/2018,180522,82,0.889,0.259,0.889,0.496,0,0.252,-6.365,0.0905,86.003,4,3/15/2019,3/22/2019
Robbery,Death Race For Love,Juice WRLD,3/8/2019,240050,89,0.685,0.328,0.685,0.692,0,0.153,-5.122,0.0457,159.966,5,3/15/2019,3/22/2019
"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2/8/2019,190440,80,0.726,0.0421,0.726,0.554,0,0.106,-5.29,0.0917,169.999,4,3/15/2019,3/22/2019
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,12/21/2018,189486,81,0.581,0.0153,0.581,0.662,0,0.111,-5.239,0.303,93.023,4,3/15/2019,3/22/2019
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,12/14/2018,158040,86,0.76,0.556,0.76,0.479,0,0.0703,-5.574,0.0466,89.911,4,3/22/2019,3/29/2019
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/23/2019,213593,83,0.837,0.149,0.837,0.364,0,0.271,-11.713,0.276,123.984,4,3/22/2019,3/29/2019
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,113013,8,0.908,0.0361,0.908,0.517,1.73E-06,0.0949,-6.063,0.129,136.019,4,3/22/2019,3/29/2019
7 rings,"thank u, next",Ariana Grande,2/8/2019,178626,87,0.778,0.592,0.778,0.317,0,0.0881,-10.732,0.334,140.048,4,3/22/2019,3/29/2019
Murder On My Mind,I AM YOU,YNW Melly,8/3/2018,268434,83,0.759,0.145,0.759,0.73,3.06E-06,0.11,-7.985,0.0516,115.007,4,3/22/2019,3/29/2019
